station_id,station_name,datetime,current_available_bikes,district,hour,rental_lag_1h,rental_lag_2h,rental_lag_24h,rental_lag_168h,rental_rolling_mean_3h,rental_rolling_mean_24h,rental_rolling_std_24h,rental_rolling_mean_7d_same_hour,available_bikes_lag_1h,available_bikes_change_1h
3520,광진경찰서,2025-09-30 09:00:00,,미상,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
4768,서울도시건축전시관,2025-09-30 09:00:00,,미상,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
2612,광평교사거리 인근,2025-09-30 09:00:00,,미상,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
4768,서울도시건축전시관,2025-09-30 10:00:00,,미상,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
4408,돌곶이역 앞,2025-09-30 10:00:00,,미상,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
660,동의보감타워,2025-09-30 10:00:00,,미상,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
2612,광평교사거리 인근,2025-09-30 10:00:00,,미상,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
3520,광진경찰서,2025-09-30 10:00:00,,미상,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
3520,광진경찰서,2025-09-30 11:00:00,,미상,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
660,동의보감타워,2025-09-30 11:00:00,,미상,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
4408,돌곶이역 앞,2025-09-30 11:00:00,,미상,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
4768,서울도시건축전시관,2025-09-30 11:00:00,,미상,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
2612,광평교사거리 인근,2025-09-30 11:00:00,,미상,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1428571428571428,,
2612,광평교사거리 인근,2025-09-30 12:00:00,,미상,12,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.1428571428571428,,
4768,서울도시건축전시관,2025-09-30 12:00:00,,미상,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
660,동의보감타워,2025-09-30 12:00:00,,미상,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
4408,돌곶이역 앞,2025-09-30 12:00:00,,미상,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
3520,광진경찰서,2025-09-30 12:00:00,,미상,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
4768,서울도시건축전시관,2025-09-30 13:00:00,,미상,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
3520,광진경찰서,2025-09-30 13:00:00,,미상,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
660,동의보감타워,2025-09-30 13:00:00,,미상,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
4408,돌곶이역 앞,2025-09-30 13:00:00,,미상,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
2612,광평교사거리 인근,2025-09-30 13:00:00,,미상,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
2612,광평교사거리 인근,2025-09-30 14:00:00,,미상,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
660,동의보감타워,2025-09-30 14:00:00,,미상,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
3520,광진경찰서,2025-09-30 14:00:00,,미상,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
4768,서울도시건축전시관,2025-09-30 14:00:00,,미상,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
4408,돌곶이역 앞,2025-09-30 14:00:00,,미상,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
2612,광평교사거리 인근,2025-09-30 15:00:00,,미상,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
3520,광진경찰서,2025-09-30 15:00:00,,미상,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
4408,돌곶이역 앞,2025-09-30 15:00:00,,미상,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
4768,서울도시건축전시관,2025-09-30 15:00:00,,미상,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
660,동의보감타워,2025-09-30 15:00:00,,미상,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
4408,돌곶이역 앞,2025-09-30 16:00:00,,미상,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
2612,광평교사거리 인근,2025-09-30 16:00:00,,미상,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
660,동의보감타워,2025-09-30 16:00:00,,미상,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
3520,광진경찰서,2025-09-30 16:00:00,,미상,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
4768,서울도시건축전시관,2025-09-30 16:00:00,,미상,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
2612,광평교사거리 인근,2025-09-30 17:00:00,,미상,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
